😀	grinning face	grinning,smile,happy,joy,cheerful,excited,pleased,delighted,beaming,enthusiastic
😃	grinning face with big eyes	grinning,smile,happy,joy,excited,cheerful,wide,eyes,pleased,enthusiastic
😄	grinning face with smiling eyes	grinning,smile,happy,joy,cheerful,laughing,pleased,delighted,beaming,excited
😁	beaming face with smiling eyes	beaming,smile,happy,joy,cheerful,grinning,delighted,pleased,excited,radiant
😆	grinning squinting face	grinning,laughing,happy,joy,squinting,amused,delighted,cheerful,giggling,excited
😅	grinning face with sweat	grinning,nervous,awkward,sweat,relieved,embarrassed,anxious,sheepish,uncomfortable,worried
🤣	rolling on the floor laughing	rolling,laughing,hilarious,funny,hysterical,rofl,amused,giggling,cracking,comedy
😂	face with tears of joy	laughing,tears,joy,funny,hilarious,amused,crying,happy,giggling,hysterical
🙂	slightly smiling face	smiling,slight,content,pleasant,happy,mild,gentle,polite,friendly,satisfied
🙃	upside-down face	upside,down,silly,sarcastic,ironic,playful,weird,joking,flipped,humor
🫠	melting face	melting,hot,dissolving,overwhelmed,exhausted,defeated,liquefying,tired,drained,stressed
😉	winking face	winking,flirty,playful,cheeky,suggestive,sly,teasing,mischievous,fun,knowing
😊	smiling face with smiling eyes	smiling,happy,content,pleased,cheerful,warm,gentle,kind,satisfied,joyful
😇	smiling face with halo	halo,angel,innocent,good,pure,saint,blessed,righteous,virtuous,holy
🥰	smiling face with hearts	hearts,love,adoration,crush,infatuated,smitten,loving,affection,romance,enamored
😍	smiling face with heart-eyes	heart,eyes,love,crush,adore,infatuated,smitten,romance,attracted,obsessed
🤩	star-struck	star,struck,amazed,impressed,starstruck,celebrity,fame,dazzled,wow,awestruck
😘	face blowing a kiss	kiss,blowing,love,romance,affection,flirty,sweet,caring,goodbye,smooch
😗	kissing face	kiss,kissing,love,romance,affection,peck,smooch,sweet,tender,caring
☺️	smiling face	smiling,happy,content,pleasant,cheerful,classic,simple,basic,satisfied,gentle
😚	kissing face with closed eyes	kiss,closed,eyes,love,romance,affection,tender,intimate,sweet,blissful
😙	kissing face with smiling eyes	kiss,smiling,eyes,love,romance,affection,happy,sweet,tender,joyful
🥲	smiling face with tear	smiling,tear,bittersweet,emotional,mixed,feelings,sad,happy,touched,moved
😋	face savoring food	savoring,food,delicious,yummy,tasty,hungry,eating,enjoying,tongue,appetite
😛	face with tongue	tongue,playful,silly,teasing,cheeky,fun,mischievous,childish,goofy,humor
😜	winking face with tongue	winking,tongue,playful,silly,teasing,cheeky,fun,flirty,mischievous,goofy
🤪	zany face	zany,crazy,wild,silly,goofy,mad,wacky,insane,fun,chaotic
😝	squinting face with tongue	squinting,tongue,silly,playful,teasing,disgusted,yuck,eww,gross,distaste
🤑	money-mouth face	money,rich,cash,wealthy,greedy,dollar,profit,business,success,expensive
🤗	smiling face with open hands	hug,embrace,open,hands,welcoming,friendly,caring,support,comfort,love
🤭	face with hand over mouth	hand,mouth,oops,shocked,surprised,embarrassed,giggling,whoops,mistake,awkward
🫢	face with open eyes and hand over mouth	surprised,shocked,gasp,oops,amazed,stunned,disbelief,wow,astonished,speechless
🫣	face with peeking eye	peeking,shy,hiding,curious,sneaky,bashful,timid,scared,nervous,watching
🤫	shushing face	shush,quiet,silence,secret,whisper,hush,shh,confidential,private,sssh
🤔	thinking face	thinking,pondering,considering,contemplating,wondering,curious,puzzled,confused,thoughtful,hmm
🫡	saluting face	salute,military,respect,honor,acknowledgment,formal,greeting,yes,sir,obedient
🤐	zipper-mouth face	zipper,mouth,quiet,silence,sealed,secret,mute,closed,zip,shh
🤨	face with raised eyebrow	raised,eyebrow,skeptical,suspicious,doubtful,questioning,really,seriously,hmm,dubious
😐	neutral face	neutral,blank,expressionless,deadpan,serious,stoic,unemotional,flat,indifferent,meh
😑	expressionless face	expressionless,blank,deadpan,unamused,serious,flat,boring,dull,monotone,unimpressed
😶	face without mouth	without,mouth,speechless,silent,quiet,no,words,stunned,shocked,mute
🫥	dotted line face	dotted,line,invisible,disappearing,fading,transparent,outline,ghost,vanishing,empty
😶‍🌫️	face in clouds	clouds,foggy,confused,lost,dizzy,hazy,unclear,bewildered,spacey,dreamy
😏	smirking face	smirking,smug,sly,mischievous,sneaky,confident,cocky,knowing,satisfied,devious
😒	unamused face	unamused,annoyed,unimpressed,bored,irritated,dissatisfied,meh,whatever,deadpan,flat
🙄	face with rolling eyes	rolling,eyes,annoyed,frustrated,exasperated,whatever,seriously,irritated,sarcastic,fed
😬	grimacing face	grimacing,awkward,uncomfortable,cringe,embarrassed,nervous,oops,yikes,sheepish,painful
😮‍💨	face exhaling	exhaling,sigh,relief,tired,exhausted,breath,huffing,puffing,frustrated,whew
🤥	lying face	lying,liar,dishonest,fibbing,deceptive,untruthful,pinocchio,fake,false,deceitful
🫨	shaking face	shaking,vibrating,trembling,nervous,scared,earthquake,shivering,rattled,unstable,wobbly
🙂‍↔️	head shaking horizontally	head,shaking,no,denial,disagreement,refusing,rejecting,negative,nope,disapproval
🙂‍↕️	head shaking vertically	head,shaking,yes,agreement,nodding,approval,accepting,confirming,vertical,affirmative
😌	relieved face	relieved,content,peaceful,calm,satisfied,relaxed,serene,blessed,grateful,phew
😔	pensive face	pensive,thoughtful,sad,melancholy,contemplative,wistful,reflective,troubled,worried,dejected
😪	sleepy face	sleepy,tired,drowsy,exhausted,sleepy,yawning,weary,fatigue,bed,rest
🤤	drooling face	drooling,hungry,delicious,yummy,craving,desire,want,saliva,tasty,appetite
😴	sleeping face	sleeping,asleep,sleep,tired,rest,zzz,snoozing,dozing,unconscious,slumber
🫩	face with bags under eyes	bags,eyes,tired,exhausted,sleepless,weary,insomnia,overworked,stressed,fatigued
😷	face with medical mask	mask,medical,sick,illness,covid,protection,doctor,hospital,health,safety
