😀	Smileys & Emotion	face-smiling	grinning face	grinning,smile,happy,joy,cheerful,excited,pleased,delighted,beaming,enthusiastic	
😃	Smileys & Emotion	face-smiling	grinning face with big eyes	grinning,smile,happy,joy,excited,cheerful,wide,eyes,pleased,enthusiastic	
😄	Smileys & Emotion	face-smiling	grinning face with smiling eyes	grinning,smile,happy,joy,cheerful,laughing,pleased,delighted,beaming,excited	
😁	Smileys & Emotion	face-smiling	beaming face with smiling eyes	beaming,smile,happy,joy,cheerful,grinning,delighted,pleased,excited,radiant	
😆	Smileys & Emotion	face-smiling	grinning squinting face	grinning,laughing,happy,joy,squinting,amused,delighted,cheerful,giggling,excited	
😅	Smileys & Emotion	face-smiling	grinning face with sweat	grinning,nervous,awkward,sweat,relieved,embarrassed,anxious,sheepish,uncomfortable,worried	
🤣	Smileys & Emotion	face-smiling	rolling on the floor laughing	rolling,laughing,hilarious,funny,hysterical,rofl,amused,giggling,cracking,comedy	
😂	Smileys & Emotion	face-smiling	face with tears of joy	laughing,tears,joy,funny,hilarious,amused,crying,happy,giggling,hysterical	
🙂	Smileys & Emotion	face-smiling	slightly smiling face	smiling,slight,content,pleasant,happy,mild,gentle,polite,friendly,satisfied	
🙃	Smileys & Emotion	face-smiling	upside-down face	upside,down,silly,sarcastic,ironic,playful,weird,joking,flipped,humor	
🫠	Smileys & Emotion	face-smiling	melting face	melting,hot,dissolving,overwhelmed,exhausted,defeated,liquefying,tired,drained,stressed	
😉	Smileys & Emotion	face-smiling	winking face	winking,flirty,playful,cheeky,suggestive,sly,teasing,mischievous,fun,knowing	
😊	Smileys & Emotion	face-smiling	smiling face with smiling eyes	smiling,happy,content,pleased,cheerful,warm,gentle,kind,satisfied,joyful	
😇	Smileys & Emotion	face-smiling	smiling face with halo	halo,angel,innocent,good,pure,saint,blessed,righteous,virtuous,holy	
🥰	Smileys & Emotion	face-affection	smiling face with hearts	hearts,love,adoration,crush,infatuated,smitten,loving,affection,romance,enamored	
😍	Smileys & Emotion	face-affection	smiling face with heart-eyes	heart,eyes,love,crush,adore,infatuated,smitten,romance,attracted,obsessed	
🤩	Smileys & Emotion	face-affection	star-struck	star,struck,amazed,impressed,starstruck,celebrity,fame,dazzled,wow,awestruck	
😘	Smileys & Emotion	face-affection	face blowing a kiss	kiss,blowing,love,romance,affection,flirty,sweet,caring,goodbye,smooch	
😗	Smileys & Emotion	face-affection	kissing face	kiss,kissing,love,romance,affection,peck,smooch,sweet,tender,caring	
☺️	Smileys & Emotion	face-affection	smiling face	smiling,happy,content,pleasant,cheerful,classic,simple,basic,satisfied,gentle	
😚	Smileys & Emotion	face-affection	kissing face with closed eyes	kiss,closed,eyes,love,romance,affection,tender,intimate,sweet,blissful	
😙	Smileys & Emotion	face-affection	kissing face with smiling eyes	kiss,smiling,eyes,love,romance,affection,happy,sweet,tender,joyful	
🥲	Smileys & Emotion	face-affection	smiling face with tear	smiling,tear,bittersweet,emotional,mixed,feelings,sad,happy,touched,moved	
😋	Smileys & Emotion	face-tongue	face savoring food	savoring,food,delicious,yummy,tasty,hungry,eating,enjoying,tongue,appetite	
😛	Smileys & Emotion	face-tongue	face with tongue	tongue,playful,silly,teasing,cheeky,fun,mischievous,childish,goofy,humor	
😜	Smileys & Emotion	face-tongue	winking face with tongue	winking,tongue,playful,silly,teasing,cheeky,fun,flirty,mischievous,goofy	
🤪	Smileys & Emotion	face-tongue	zany face	zany,crazy,wild,silly,goofy,mad,wacky,insane,fun,chaotic	
😝	Smileys & Emotion	face-tongue	squinting face with tongue	squinting,tongue,silly,playful,teasing,disgusted,yuck,eww,gross,distaste	
🤑	Smileys & Emotion	face-tongue	money-mouth face	money,rich,cash,wealthy,greedy,dollar,profit,business,success,expensive	
🤗	Smileys & Emotion	face-hand	smiling face with open hands	hug,embrace,open,hands,welcoming,friendly,caring,support,comfort,love	
🤭	Smileys & Emotion	face-hand	face with hand over mouth	hand,mouth,oops,shocked,surprised,embarrassed,giggling,whoops,mistake,awkward	
🫢	Smileys & Emotion	face-hand	face with open eyes and hand over mouth	surprised,shocked,gasp,oops,amazed,stunned,disbelief,wow,astonished,speechless	
🫣	Smileys & Emotion	face-hand	face with peeking eye	peeking,shy,hiding,curious,sneaky,bashful,timid,scared,nervous,watching	
🤫	Smileys & Emotion	face-hand	shushing face	shush,quiet,silence,secret,whisper,hush,shh,confidential,private,sssh	
🤔	Smileys & Emotion	face-hand	thinking face	thinking,pondering,considering,contemplating,wondering,curious,puzzled,confused,thoughtful,hmm	
🫡	Smileys & Emotion	face-hand	saluting face	salute,military,respect,honor,acknowledgment,formal,greeting,yes,sir,obedient	
🤐	Smileys & Emotion	face-neutral-skeptical	zipper-mouth face	zipper,mouth,quiet,silence,sealed,secret,mute,closed,zip,shh	
🤨	Smileys & Emotion	face-neutral-skeptical	face with raised eyebrow	raised,eyebrow,skeptical,suspicious,doubtful,questioning,really,seriously,hmm,dubious	
😐	Smileys & Emotion	face-neutral-skeptical	neutral face	neutral,blank,expressionless,deadpan,serious,stoic,unemotional,flat,indifferent,meh	
😑	Smileys & Emotion	face-neutral-skeptical	expressionless face	expressionless,blank,deadpan,unamused,serious,flat,boring,dull,monotone,unimpressed	
